id,Name,Artist,Album,Genre,Comments,Location,Grouping
aeecba7d-6f29-41ca-bca0-12259194d994,"Sweet Low, Sweet Cadillac",Gerardo Frisina,Note Book - A Journey In Sound,Jazz,"Rhythmic, Groover, Dancefloor","file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/01%20Sweet%20Low,%20Sweet%20Cadillac.mp3",
f6a47f9f-be49-4832-8a4f-56c0f80b7e59,That's What Friends Are For,Alan Parker & Madeline Bell,Music for Dancefloors: The KPM Music Library,Jazz,"Latin, Groover, Intro",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/1-01%20That's%20What%20Friends%20Are%20For.mp3,
1471b450-f905-4366-a98f-16be92685b9e,Ghetto Stomp (combo moderna remix),Gerardo Frisina,Supernatural Funky Musique Volume 3 (UTD7017),Jazz,"Latin, Samba, Rhythmic",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/10%20Ghetto%20Stomp%20(combo%20moderna%20remix).mp3,
d00fc5de-26a0-4714-8986-5f1adc0b3693,Steppin W Friends,Will DiMaggio,At Ease,Jazz,"Euphoric, Progressive, Funk, Intro, Mover, Rhythmic",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/02%20Steppin%20W%20Friends.mp3,
63c9e2f9-f79b-425d-80e9-523e8e5eb1c2,Voodoo Sun,Universal Principles,Inspiration & Light,Jazz,"Progressive, Intro, Funk, Soul, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/09%20Voodoo%20Sun.mp3,
aa4a3648-5684-4436-8cc7-85c491ef6f41,Mas Fuerte Que El Sol,The Vogado Projects Vol. 1,Nite:Life 011 CD02 Danny Krivit,Jazz,"Ambient, Funk, Intro",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/01%20Mas%20Fuerte%20Que%20El%20Sol.mp3,
5a79278a-7c87-46d7-92ef-1b5e150cb21e,Sure Thing,St. Germain,Tourist,Jazz,"Rhythmic, Mover, Intro, Lounge",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/06%20Sure%20Thing.mp3,
85e7b278-d033-43e6-8f29-e73e1f413e5f,No Time To Play (feat. Ronnie Jordan & D.C. Lee),Guru's Jazzmatazz,Feel The Music,Jazz,"Groover, Intro, Funk",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/02%20No%20Time%20To%20Play%20(feat.%20Ronnie%20Jordan%20&%20D.C.%20Lee).mp3,
00e88fe4-c80e-4e79-8a5e-4a0f2062c3a2,Gosto De Que e Bom,Gerardo Frisina,A History Of Schema Tokyo Dream (OMOCD0107),Jazz,"Rhythmic, Latin, Groover, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/04%20Gosto%20De%20Que%20e%20Bom.mp3,
ab3f48e0-9f38-4a43-9ab8-9d6c6dd47e9b,Hush,Gerardo Frisina,,Jazz,"Rhythmic, Groover, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/Hush.mp3,
663748b2-c70d-422c-a665-e7aae737ca1a,Hanen,Carthago,Alech,Jazz,"World, Funk, Intro, Lounge",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/02%20Hanen.mp3,
1f90e600-1127-4b22-9341-28e4b738e16a,You Do ,Sweely ,,Jazz,"Rhythmic, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/You%20Do.mp3,
43d4eb9f-01a0-4164-ad63-54bfc1008701,N.Y. Diva Has Been Set On Fire (Kasha's Short Vocal Mix),Traumprinz,Traumprinz 06,Techno,"House, Dancefloor, Soul, Mover, Detroit",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/03%20N.Y.%20Diva%20Has%20Been%20Set%20On%20Fire%20(Kasha's%20Short%20Vocal%20Mix).mp3,
57dbe0e8-501a-4b3d-a854-05a2d96887a4,Kiefermuskelkater,Traumprinz,Mothercave,Techno,"Mover, Space",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/07%20Kiefermuskelkater.mp3,
53d9d3f6-1cbd-4f2c-90bd-df713498d66b,The Vibe,Prime Minister of Doom,Mudshadow Propaganda,Techno,"House, Skip, Mover, Groover, Lo-fi",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/04%20The%20Vibe.mp3,
